44,1,1
-25,2,2
-41,3,3
-50,4,4
-23,5,5
-8,6,6
-5,7,7
-32,8,8
-45,9,9
31,10,10
28,11,11
-22,12,12
47,13,13
-37,14,14
-28,15,15
36,16,16
-27,17,17
22,18,18
-6,19,19
-4,20,20
47,21,21
-35,22,22
26,23,23
10,24,24
-47,25,25
-4,26,26
-5,27,27
-41,28,28
-20,29,29
-9,30,30
13,31,31
-23,32,32
10,33,33
13,34,34
-6,35,35
39,36,36
31,37,37
-49,38,38
26,39,39
1,40,40
34,41,41
4,42,42
39,43,43
27,44,44
-31,45,45
-8,46,46
43,47,47
24,48,48
8,49,49
-31,50,50
39,51,51
-42,52,52
-6,53,53
23,54,54
-15,55,55
-14,56,56
44,57,57
-7,58,58
34,59,59
48,60,60
14,61,61
34,62,62
-40,63,63
50,64,64
-4,65,65
6,66,66
19,67,67
23,68,68
14,69,69
7,70,70
-40,71,71
12,72,72
21,73,73
-20,74,74
-6,75,75
-3,76,76
-38,77,77
-38,78,78
-49,79,79
28,80,80
-41,81,81
43,82,82
49,83,83
-22,84,84
-7,85,85
1,86,86
16,87,87
-34,88,88
-17,89,89
-16,90,90
13,91,91
0,92,92
-30,93,93
-34,94,94
49,95,95
-1,96,96
-44,97,97
-4,98,98
-4,99,99
-9,100,100
