34,1,1
-14,2,-1
4,3,6
30,4,3
42,5,2
44,6,4
-28,7,5
35,8,10
18,9,9
19,10,7
6,11,14
36,12,9
47,13,10
48,14,13
19,15,18
7,16,17
22,17,16
-7,18,16
40,19,17
27,20,18
15,21,21
-14,22,20
-13,23,21
28,24,27
1,25,23
35,26,27
-30,27,27
-23,28,31
3,29,28
-7,30,32
7,31,31
-27,32,34
-2,33,35
-12,34,37
24,35,38
37,36,39
40,37,38
-18,38,35
33,39,37
37,40,42
10,41,39
-32,42,39
28,43,40
31,44,45
45,45,43
46,46,48
16,47,47
-48,48,49
-6,49,46
8,50,51
-49,51,49
43,52,49
48,53,51
3,54,54
8,55,57
0,56,57
-50,57,54
-46,58,61
-42,59,56
-10,60,57
37,61,63
34,62,61
41,63,64
40,64,61
-29,65,63
47,66,65
-44,67,64
-29,68,68
11,69,68
-18,70,70
28,71,72
14,72,74
17,73,71
38,74,73
-24,75,72
-47,76,78
25,77,79
34,78,79
5,79,80
-21,80,80
9,81,83
-35,82,83
28,83,82
45,84,85
29,85,88
41,86,87
2,87,90
3,88,88
22,89,88
-13,90,90
30,91,88
-14,92,94
-19,93,91
25,94,93
42,95,92
35,96,98
-17,97,97
49,98,98
-33,99,96
-35,100,101
