  22,1,0
-27,2,3
-19,3,3
-9,4,5
29,5,6
-29,6,5
-22,7,8
40,8,7
26,9,10
-46,10,11
32,11,10
2,12,13
7,13,12
-15,14,13
-30,15,14
43,16,17
9,17,16
-33,18,17
13,19,20
-2,20,20
33,21,21
10,22,21
-36,23,22
-7,24,25
31,25,24
-7,26,25
26,27,27
14,28,27
9,29,29
-11,30,31
44,31,31
-43,32,32
37,33,33
24,34,34
-48,35,36
-23,36,35
15,37,38
43,38,37
-19,39,38
-9,40,41
-41,41,40
6,42,41
22,43,44
50,44,44
-20,45,46
-37,46,46
-45,47,47
-2,48,47
-12,49,49
17,50,49
32,51,52
11,52,51
-6,53,53
-24,54,55
-40,55,56
17,56,57
-47,57,57
24,58,57
9,59,60
-46,60,61
-6,61,60
19,62,63
12,63,62
2,64,64
5,65,66
-4,66,65
-13,67,67
-29,68,69
-29,69,68
-25,70,69
33,71,71
31,72,71
6,73,72
9,74,74
18,75,74
-33,76,76
27,77,77
-27,78,78
26,79,79
50,80,80
11,81,81
50,82,81
-19,83,84
-35,84,83
18,85,85
4,86,87
-40,87,88
30,88,87
22,89,89
22,90,89
33,91,90
47,92,91
-37,93,93
39,94,93
-29,95,96
-27,96,97
31,97,97
-45,98,98
4,99,100
-35,100,99
